Client_ID,Freelancer_ID,Rating
C1,F17,3.9000000000000004
C1,F18,4.6
C1,F24,4.7
C1,F25,3.35
C1,F27,3.8
C1,F32,3.4
C1,F34,3.1
C1,F35,4.1
C1,F37,4.6
C1,F42,4.0
C1,F45,3.966666666666667
C1,F49,3.1
C1,F52,4.4
C1,F61,4.7
C1,F65,4.1
C1,F66,3.1
C1,F79,4.4
C1,F87,3.8
C1,F89,3.8
C1,F98,3.8499999999999996
C10,F1,3.9
C10,F13,4.9
C10,F21,3.0
C10,F33,4.4
C10,F4,3.4
C10,F40,4.6
C10,F51,4.7
C10,F53,4.4
C10,F56,3.2
C10,F62,3.45
C10,F65,4.0
C10,F71,4.6
C10,F74,3.5
C10,F77,4.3
C10,F81,4.1
C10,F83,3.6
C10,F96,4.0
C11,F12,3.3
C11,F15,4.3
C11,F18,4.7
C11,F2,4.5
C11,F26,4.3
C11,F31,3.8499999999999996
C11,F32,3.1
C11,F36,4.1
C11,F37,3.6500000000000004
C11,F39,4.1
C11,F40,4.8
C11,F43,4.5
C11,F57,4.8
C11,F62,4.5
C11,F72,3.2
C11,F74,4.6
C11,F81,3.7
C11,F90,4.2
C12,F10,5.0
C12,F16,3.8
C12,F17,3.6
C12,F18,3.4
C12,F19,3.8
C12,F22,3.9
C12,F31,3.0
C12,F35,4.0
C12,F38,4.05
C12,F40,4.9
C12,F50,3.8
C12,F58,4.9
C12,F61,4.0
C12,F65,4.8
C12,F71,4.5
C12,F73,4.2
C12,F74,4.2
C12,F75,4.1
C12,F86,4.4
C12,F87,3.5
C12,F88,4.3
C12,F96,4.5
C13,F1,3.4
C13,F20,3.4
C13,F29,4.4
C13,F31,3.7
C13,F33,3.1
C13,F36,3.0
C13,F42,3.5
C13,F46,4.800000000000001
C13,F48,3.2
C13,F5,4.7
C13,F50,3.8
C13,F53,4.2
C13,F57,3.4
C13,F59,4.4
C13,F63,3.65
C13,F64,3.3
C13,F66,3.6
C13,F69,3.4
C13,F71,3.3
C13,F73,4.2
C13,F78,3.55
C13,F79,3.4
C13,F8,3.6
C13,F84,4.9
C13,F86,3.9
C14,F11,3.9
C14,F16,4.75
C14,F19,4.6
C14,F20,4.0
C14,F21,4.4
C14,F29,3.4
C14,F35,4.4
C14,F38,3.6
C14,F39,4.9
C14,F4,3.3
C14,F5,3.8
C14,F51,4.9
C14,F56,3.8
C14,F57,4.9
C14,F6,3.2
C14,F62,4.1
C14,F67,4.3
C14,F69,3.9
C14,F75,3.7
C14,F76,4.2
C14,F77,3.7
C14,F84,3.5
C14,F86,4.7
C14,F92,3.5
C14,F94,4.2
C14,F99,3.5
C15,F10,3.8
C15,F13,4.4
C15,F17,3.8
C15,F18,3.3
C15,F20,4.0
C15,F23,3.2
C15,F28,4.0
C15,F31,3.3
C15,F35,3.2
C15,F37,4.2
C15,F43,3.0
C15,F49,3.8
C15,F53,3.9000000000000004
C15,F57,4.3
C15,F59,3.9
C15,F67,4.1
C15,F70,4.1
C15,F72,4.9
C15,F73,3.9
C15,F74,4.4
C15,F75,4.25
C15,F79,3.6
C15,F81,4.1
C15,F92,3.7
C15,F94,3.4
C16,F11,3.2
C16,F2,3.3
C16,F20,3.7
C16,F25,4.2
C16,F43,4.6
C16,F44,3.4
C16,F46,4.6
C16,F5,3.5
C16,F56,3.9
C16,F57,3.75
C16,F59,3.4
C16,F6,3.6500000000000004
C16,F60,4.1
C16,F62,3.9
C16,F67,3.7
C16,F72,3.5
C16,F75,4.3
C16,F76,4.0
C16,F8,3.4
C16,F90,4.3
C16,F93,3.8
C17,F1,3.75
C17,F2,3.7
C17,F20,4.4
C17,F25,4.0
C17,F27,3.2
C17,F41,4.4
C17,F52,3.6
C17,F56,3.3
C17,F61,5.0
C17,F7,4.7
C17,F9,3.25
C17,F99,4.5
C18,F100,3.6
C18,F11,3.75
C18,F15,4.9
C18,F16,5.0
C18,F2,3.9
C18,F28,3.6
C18,F3,3.5
C18,F31,4.1
C18,F33,3.1
C18,F35,4.5
C18,F4,3.4
C18,F41,3.9
C18,F47,3.1
C18,F49,3.7
C18,F5,3.5
C18,F51,3.8
C18,F52,3.4
C18,F53,3.3
C18,F54,4.5
C18,F55,3.65
C18,F6,3.4
C18,F61,3.0
C18,F68,4.2
C18,F7,4.5
C18,F71,4.2
C18,F76,4.3
C18,F77,4.0
C18,F82,4.5
C18,F85,3.6999999999999997
C18,F89,4.2
C18,F92,4.4
C18,F98,4.4
C18,F99,4.7
C19,F14,4.8
C19,F16,3.1
C19,F21,3.0
C19,F23,3.45
C19,F24,4.5
C19,F26,3.5
C19,F27,4.25
C19,F28,3.8
C19,F35,4.9
C19,F41,5.0
C19,F5,3.0
C19,F56,3.8
C19,F6,4.6
C19,F60,4.3
C19,F61,4.7
C19,F64,3.5
C19,F84,4.1
C19,F89,3.7
C19,F90,4.0
C2,F100,3.7
C2,F14,3.6
C2,F27,3.75
C2,F3,4.9
C2,F30,3.65
C2,F39,3.4
C2,F42,3.2
C2,F46,3.1
C2,F5,4.4
C2,F56,4.7
C2,F59,3.5
C2,F6,3.2
C2,F7,4.8
C2,F70,4.2
C2,F73,4.2
C2,F78,3.7
C2,F93,3.6
C2,F95,3.6
C20,F12,3.5
C20,F13,3.5
C20,F14,4.4
C20,F20,3.0
C20,F22,3.7
C20,F27,4.0
C20,F47,3.8
C20,F59,4.1
C20,F60,3.3
C20,F63,3.9
C20,F65,4.5
C20,F72,3.6
C20,F80,3.4
C20,F82,3.7
C3,F11,3.5
C3,F12,4.7
C3,F13,4.8
C3,F16,3.8
C3,F2,4.5
C3,F26,3.4
C3,F27,4.0
C3,F34,3.55
C3,F38,3.2
C3,F40,3.0
C3,F41,4.7
C3,F48,3.8
C3,F50,3.25
C3,F51,3.7
C3,F60,4.7
C3,F62,4.8
C3,F64,4.5
C3,F65,4.8
C3,F71,4.5
C3,F72,3.9
C3,F73,3.3
C3,F74,3.7
C3,F76,3.5
C3,F79,3.9
C3,F82,4.9
C3,F86,3.4
C3,F92,4.5
C3,F94,4.0
C4,F13,3.9
C4,F16,3.8
C4,F19,4.3
C4,F20,3.3
C4,F36,4.7
C4,F38,4.5
C4,F40,3.4
C4,F42,4.9
C4,F45,4.4
C4,F53,4.2
C4,F55,4.6
C4,F56,4.1
C4,F57,3.1
C4,F58,3.2
C4,F67,3.2
C4,F7,4.5
C4,F75,4.1
C4,F76,3.7
C4,F78,4.7
C4,F79,3.3
C4,F82,3.2
C4,F9,3.6
C4,F91,3.4
C4,F92,4.0
C4,F96,4.8
C4,F98,3.5
C5,F11,3.6
C5,F13,4.9
C5,F18,4.1
C5,F20,4.3
C5,F24,3.4
C5,F27,3.7
C5,F3,4.8
C5,F31,4.5
C5,F35,4.6
C5,F36,4.8
C5,F40,4.35
C5,F41,4.8
C5,F45,3.6
C5,F49,4.3
C5,F50,4.7
C5,F54,3.6
C5,F57,4.3
C5,F58,3.1
C5,F59,4.4
C5,F60,4.1
C5,F65,3.6
C5,F69,3.9
C5,F7,4.0
C5,F73,4.0
C5,F77,4.2
C5,F79,3.95
C5,F83,4.449999999999999
C5,F86,4.4
C5,F92,3.4
C5,F93,4.8
C5,F95,3.9
C6,F10,3.2
C6,F100,3.4
C6,F11,4.3
C6,F22,3.4
C6,F23,3.9
C6,F24,3.2
C6,F25,4.3
C6,F3,4.8
C6,F30,4.7
C6,F34,4.3
C6,F37,4.3
C6,F38,4.9
C6,F39,4.9
C6,F41,3.4
C6,F48,4.7
C6,F56,3.6
C6,F57,4.8
C6,F67,3.2
C6,F69,3.7
C6,F7,4.9
C6,F76,4.3
C6,F77,4.0
C6,F8,4.4
C6,F84,3.6
C6,F86,3.8
C6,F92,3.4
C6,F94,4.1
C6,F97,4.0
C7,F100,4.1
C7,F12,3.3
C7,F23,3.6
C7,F25,3.7
C7,F26,4.4
C7,F28,3.7
C7,F29,3.0
C7,F30,3.8
C7,F34,3.9
C7,F36,4.4
C7,F40,4.7
C7,F45,3.25
C7,F47,4.3
C7,F48,3.9
C7,F53,4.9
C7,F58,3.9
C7,F6,4.0
C7,F63,3.2
C7,F70,3.6
C7,F73,4.8
C7,F8,4.1
C7,F90,3.7
C7,F93,4.4
C7,F97,3.9
C7,F98,4.5
C8,F16,4.2
C8,F17,4.2
C8,F2,4.2
C8,F20,4.0
C8,F28,3.7
C8,F3,4.0
C8,F36,5.0
C8,F47,3.0
C8,F49,4.9
C8,F51,4.4
C8,F6,4.6
C8,F62,3.8
C8,F63,4.9
C8,F67,4.0
C8,F70,3.9
C8,F73,3.7
C8,F8,4.6
C8,F80,4.7
C8,F89,3.2
C8,F9,4.8
C8,F93,4.4
C8,F99,3.8
C9,F11,4.4
C9,F12,3.9
C9,F14,4.9
C9,F19,3.25
C9,F28,3.2
C9,F29,3.2
C9,F44,3.4
C9,F5,3.4
C9,F56,3.5
C9,F62,3.9
C9,F67,4.6
C9,F71,3.9
C9,F85,3.1
C9,F88,4.1
C9,F97,3.3
